composition,T(K),a_fcc(Å),a_hcp(Å),c_hcp(Å),c/a_hcp,a_dhcp(Å),c_dhcp(Å),c/a_dhcp
Cr0.00_Co0.00_Fe1.00,150,36.09520726,25.78977625,42.11973354,1.633194997,53.50961732,11.17242745,0.208792886
Cr0.00_Co0.00_Fe1.00,300,36.09314925,26.78558736,42.55157456,1.588599645,56.74005622,10.77584017,0.189915923
Cr0.00_Co0.00_Fe1.00,500,36.20490285,27.51833573,42.73436076,1.552941325,57.21998413,11.53694986,0.201624486
Cr0.00_Co0.25_Fe0.75,150,35.36873565,23.99808947,42.15959457,1.756789624,53.50961732,11.17242745,0.208792886
Cr0.00_Co0.25_Fe0.75,300,35.44549943,24.6723433,41.12335062,1.666779281,56.74005622,10.77584017,0.189915923
Cr0.00_Co0.25_Fe0.75,500,35.46799893,26.32301447,42.04940988,1.597438999,57.21998413,11.53694986,0.201624486
Cr0.00_Co0.50_Fe0.50,150,34.97177407,25.23549688,43.37325897,1.718740042,53.50961732,11.17242745,0.208792886
Cr0.00_Co0.50_Fe0.50,300,35.15317084,27.32419513,44.68058222,1.635202135,56.74005622,10.77584017,0.189915923
Cr0.00_Co0.50_Fe0.50,500,35.13095113,29.55234554,49.97563435,1.69108859,57.21998413,11.53694986,0.201624486
Cr0.00_Co0.75_Fe0.25,150,35.90078003,25.28888628,42.09238353,1.664461735,53.50961732,11.17242745,0.208792886
Cr0.00_Co0.75_Fe0.25,300,35.97321774,25.70554266,45.57918892,1.77312689,56.74005622,10.77584017,0.189915923
Cr0.00_Co0.75_Fe0.25,500,35.93510163,29.72937489,48.28640592,1.624198494,57.21998413,11.53694986,0.201624486
Cr0.00_Co1.00_Fe0.00,150,33.12157492,27.0417857,43.3497201,1.603064257,53.50961732,11.17242745,0.208792886
Cr0.00_Co1.00_Fe0.00,300,35.06847528,27.21470938,44.94333403,1.651435384,56.74005622,10.77584017,0.189915923
Cr0.00_Co1.00_Fe0.00,500,35.80561838,27.11573472,45.55976446,1.68019657,57.21998413,11.53694986,0.201624486
Cr0.17_Co0.17_Fe0.67,150,35.20354073,23.41072827,42.04605834,1.796016674,53.50961732,11.17242745,0.208792886
Cr0.17_Co0.17_Fe0.67,300,35.26718118,25.67935336,44.23011141,1.722399735,56.74005622,10.77584017,0.189915923
Cr0.17_Co0.17_Fe0.67,500,35.36905195,25.72801751,42.33635242,1.645534966,57.21998413,11.53694986,0.201624486
Cr0.17_Co0.67_Fe0.17,150,35.18960508,24.24614614,39.69171813,1.637032042,53.50961732,11.17242745,0.208792886
Cr0.17_Co0.67_Fe0.17,300,35.19068699,25.74543556,41.48030701,1.611171305,56.74005622,10.77584017,0.189915923
Cr0.17_Co0.67_Fe0.17,500,35.72771461,25.01011535,41.57149541,1.662187272,57.21998413,11.53694986,0.201624486
