composition,T(K),E_fcc(eV/atom),E_hcp(eV/atom),E_dhcp(eV/atom),γ_ISF(mJ/m²),γ_ESF(mJ/m²),γ_Twin(mJ/m²)
Cr0.00_Co0.00_Fe1.00,150,0.009021679,0.010529933,0.011172427,0.105889891,0.071509283,0.052944945
Cr0.00_Co0.00_Fe1.00,300,0.009039639,0.010637894,0.01077584,0.085292193,0.062274963,0.042646096
Cr0.00_Co0.00_Fe1.00,500,0.009051055,0.01068359,0.01153695,0.12160185,0.080765496,0.060800925
Cr0.00_Co0.25_Fe0.75,150,0.0088361,0.010539899,0.011172427,0.119789328,0.081734164,0.059894664
Cr0.00_Co0.25_Fe0.75,300,0.008858683,0.010280838,0.01077584,0.097936234,0.067130487,0.048968117
Cr0.00_Co0.25_Fe0.75,500,0.008894994,0.010512352,0.01153695,0.134490121,0.087828176,0.067245061
Cr0.00_Co0.50_Fe0.50,150,0.008744859,0.010843315,0.011172427,0.127139545,0.091045486,0.063569772
Cr0.00_Co0.50_Fe0.50,300,0.008783353,0.011170146,0.01077584,0.103889065,0.083056608,0.051944533
Cr0.00_Co0.50_Fe0.50,500,0.008793383,0.012493909,0.01153695,0.141911251,0.118808132,0.070955625
Cr0.00_Co0.75_Fe0.25,150,0.008863326,0.010523096,0.011172427,0.116492455,0.079179768,0.058246227
Cr0.00_Co0.75_Fe0.25,300,0.008795367,0.011394797,0.01077584,0.098432945,0.081515519,0.049216473
Cr0.00_Co0.75_Fe0.25,500,0.008905474,0.012071601,0.01153695,0.131416222,0.105237308,0.065708111
Cr0.00_Co1.00_Fe0.00,150,0.010204021,0.01083743,0.011172427,0.052567002,0.034879174,0.026283501
Cr0.00_Co1.00_Fe0.00,300,0.008443361,0.011235834,0.01077584,0.104339937,0.083399229,0.052169968
Cr0.00_Co1.00_Fe0.00,500,0.008307336,0.011389941,0.01153695,0.14136855,0.104417675,0.070684275
Cr0.17_Co0.17_Fe0.67,150,0.008770115,0.010511515,0.011172427,0.124570443,0.084860023,0.062285222
Cr0.17_Co0.17_Fe0.67,300,0.008784306,0.011057528,0.01077584,0.102994757,0.080888028,0.051497378
Cr0.17_Co0.17_Fe0.67,500,0.008818461,0.010584088,0.01153695,0.140485116,0.093053425,0.070242558
Cr0.17_Co0.67_Fe0.17,150,0.008774758,0.00992293,0.011172427,0.124132646,0.076927169,0.062066323
